Category,Subcategory,Product Name,Price (TL),Description,Content/Details,Photo URL,Is Active,ID
Soft İçecekler,SOĞUK KAHVELER,ICE LATTE,130,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/9acf4978-7e7a-4e8c-abe8-ba60333c5d1c.jpg,True,07dc2d63-fe97-4cd7-a9cc-2a9bb67ebb2e
Soft İçecekler,SOĞUK KAHVELER,ICE MOCHA,130,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/d52bed59-8ff7-43e2-96f0-53857ecedbe4.jpg,True,a4c72687-7bbd-491b-b95d-c83492334027
Soft İçecekler,SOĞUK KAHVELER,ICE WHITE MOCHA,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/ea244dcc-1197-453a-aa23-5de646b9f44c.jpg,True,028c1bc2-fd50-482e-b2a2-14bf5cbe57af
Soft İçecekler,SOĞUK KAHVELER,ICE AMERICANO,130,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/ff11e951-68c6-4af8-9395-17309e6ccca6.jpg,True,3cca8276-ebf9-4acd-9bcf-7a5cadf1febc
Soft İçecekler,SOĞUK KAHVELER,ICE CARAMEL LATTE,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/a8f3b9ee-c2a4-4955-ae7c-ad505e218caa.jpg,True,5c6ffee5-9843-407a-8316-4b93725b50c2
Soft İçecekler,ALKOLSÜZ KOKTEYLLER,VIRGIN MOJITO,160,.,.,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/48d93f28-f185-4af2-9dc1-ab349f0b6d52.jpg,True,33a9c771-2ee0-46d6-8db9-4f58c64578a9
Soft İçecekler,ALKOLSÜZ KOKTEYLLER,VIRGIN VERRY BERRY,150,.,.,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/b4450c53-2fa0-429a-82ca-99432a64f7b1.jpeg,True,20c86280-0e81-42aa-96f7-15841795bca7
Shotlar,SHOTS,JAGERMEISTER COLD BREW COFFEE SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/1b844ef6-4424-4325-9b2c-521bfaa19872.jpeg,True,25d420ba-d21e-4597-954b-d95caafa77ec
Shotlar,SHOTS,SÜT SHOT,30,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/1726b177-2aa2-4f2a-b2ac-3c6303260a66.jpeg,True,af11bd72-41ce-44b2-9d5d-716b3a4af397
Shotlar,SHOTS,SHANKY'S WHIP BLACK SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/4854d0d4-4631-48fa-88fd-43a578373473.jpeg,True,2cf9f235-352b-4557-b176-7f481a338b95
Shotlar,SHOTS,STAMBECCO TIRAMISU LIQUER SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/65d8f050-8f8d-48dc-a6fd-2323f2209238.jpeg,True,a48c0d38-edb6-4d2a-9f10-f4e9879dd20e
Shotlar,SHOTS,VODKA SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/e6f1abee-1b72-46e8-a8bb-45614e7eab98.jpeg,True,7a903ec7-3707-42c7-8f6d-065509d4de8d
Shotlar,SHOTS,WHITE RUM SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/bee797a4-7848-420f-b773-13d3db3a7d7e.jpeg,True,c0f7d9dd-a95d-42b6-baa3-a1161fc41d94
Shotlar,SHOTS,JAGERMEISTER MANIFEST SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/c41ed829-7e47-4f2e-bf30-5601dacd52ca.jpeg,True,32728e54-1cb3-41e7-b31c-00a0c2871087
Shotlar,SHOTS,SPICED RUM SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/fc4bb603-0569-482d-ae64-41392d2bd260.jpeg,True,9f177668-df03-4674-87d9-40bec007d036
Shotlar,SHOTS,GIN SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/7a2bda2c-c848-4505-bcc0-10b77ec23ca3.jpeg,True,0f80689b-fbde-4fc7-a8c5-e6e1db68d8d9
Shotlar,SHOTS,SIERRA TROPICAL SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/8b3bfc81-caf9-437d-954e-fc8ed42e9226.jpeg,True,ffba40ad-7480-4d40-893e-f64bab014cb2
Shotlar,SHOTS,SİERRA TEKİLA SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/6633c81a-726e-4963-bfac-00fdd72f3934.jpg,True,3825ca31-6ece-4b11-b16c-cddce68ed9ca
Shotlar,SHOTS,JAGER SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/81d94155-bf97-4a2d-957d-95963eb1d4d5.jpg,True,71eea86b-ef3e-4b06-81f4-171cf7a99af9
Shotlar,VİSKİ,JIM BEAM HONEY SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/23a30c5c-619c-4ca1-9678-5125071a6567.jpeg,True,2c585143-01c5-4208-b974-4e4eef175e51
Shotlar,VİSKİ,BELL'S SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/23e052d3-91e1-4306-b775-5daedd5e88e0.jpeg,True,b873a8cb-a1e2-408e-ac11-cfd35f15c8d0
Shotlar,VİSKİ,JIM BEAM WHITE SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/83180cae-51a7-48a1-856b-3ca4f2857880.jpeg,True,7b940900-d372-4624-9592-dfc71103fc27
Shotlar,VİSKİ,JB RARE SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/1e9cc426-0d89-4c2e-951c-2902c36886a9.jpeg,True,74933cdf-c04d-4b04-b0ab-abaf6f021b98
Shotlar,LİKOR,ABSOLUT VANILYA SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/6caabde2-7739-4c91-afd5-0118ac8deaf6.jpeg,True,a5b0ba9c-11a5-45e0-a9b0-fd93c183eb4e
Shotlar,LİKOR,BOL'S YOGURT SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/7fe78bbd-10b4-4f0d-9d65-15ea27a6856c.jpeg,True,46294249-4286-4531-9cc7-a55af8ac0c1a
Shotlar,LİKOR,LUXARDO SOUR APPLE SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/54a65d42-ea93-4373-b6cf-3a41f0db2b0d.jpeg,True,1fb04442-6b25-4d34-978a-8dde284f9dd8
Shotlar,LİKOR,PUSCHKIN ICE MINT SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/f29dcf78-df68-418b-8dd1-ca91fa4c8346.jpeg,True,d686109f-7bb8-4cbf-aeb9-e641980b3ac6
Shotlar,LİKOR,KEGLEVICH PESCA LIQUER SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/bc8db5dc-e9ff-402a-8bd7-68810ce0488d.jpeg,True,d86a1fe4-fe16-4826-82d9-902092281523
Shotlar,LİKOR,IRLANDA KREMA LİKÖRÜ SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/39bb1ceb-b873-443a-a729-8a631f7efa5a.jpeg,True,1ac643b3-c5e0-4779-a132-0ecc038fcfa5
Shotlar,LİKOR,LUXARDO TRIPLE SEC SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/8cfde4e3-766f-4f2e-b952-5e322050eafa.jpeg,True,60a94e96-90dc-4164-9246-e82de30ef8b4
Shotlar,LİKOR,LUXARDO MARASCHINO SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/3296335f-689d-4671-85e1-5b0a19cd1279.jpeg,True,8c6d1ce4-dc80-447b-acec-355ca7860ba3
Shotlar,LİKOR,PUSCHKIN WATERMELON SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/48339941-ca9e-42f5-a7c8-9ab72b555f38.jpeg,True,41373ddd-9bf0-4c0f-b2ad-d513b22f419e
Shotlar,LİKOR,PUSCHKIN RED ORANGE SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/75a90243-4090-43c9-bd57-cde5e39bf219.jpeg,True,ecce56d8-f264-40d2-95bf-a1673c2cd681
Shotlar,LİKOR,PUSCHKIN BLUEBERRY SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/5f73e6fb-a896-49c2-a185-c5ce5cba2b7b.jpeg,True,128e14da-1abe-4f75-9eb2-bedcff1edd00
Shotlar,LİKOR,PUSCHKIN PASSIONFRUIT SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/c5813d8b-630b-401e-acdf-3e0e0a88d2fc.jpeg,True,8aefce4e-36e2-499b-9f3d-c571c4a8e929
Shotlar,LİKOR,PUSCHKIN BLACK BERRIES SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/1acd2a88-edea-488f-b80e-1ec5c5406ed1.jpeg,True,42e14db0-90c5-4131-b343-c1cb52a1db55
Shotlar,LİKOR,SAFARI SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/ce43f1a6-7295-4f9f-a876-c2b49cb24aeb.jpeg,True,05ef5099-1cec-4c5a-a57c-1eb3e839ee73
Shotlar,LİKOR,ABSOLUT CITRON SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/fe8ad181-3e0d-4f6c-a8d1-5fee8636acda.jpeg,True,60556bb5-b7a8-4d8d-82c9-c01f73350ab6
Shotlar,LİKOR,BOTTEGA PISTACCHIO SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/a647496f-8a62-4d2a-9158-f178d0d3bb56.jpeg,True,ccd6db22-a5af-4992-ac12-d0568f80362a
Shotlar,LİKOR,MALIBU SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/ba3e0cb1-bde2-47d9-b256-7e6f3c93a749.jpeg,True,979df506-9498-490e-8b4c-5010e1f63207
Shotlar,LİKOR,PASSOA SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/a72d946b-5715-4846-9717-01b487d172ea.jpeg,True,8fd603c4-48da-4f62-a352-10d5ff1275a6
Shotlar,LİKOR,SMIRNOFF NORTH SHOT,140,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/82df8b3b-4421-4830-b4e1-d2255afc4812.jpeg,True,17af58ed-f81b-4442-9d63-bbb76be92d0f
Soğuk Çaylar,SOĞUK ÇAYLAR,Berry Hibiscus,130,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/0f51fabb-8348-4ca1-9399-f623fd9f06ee.jpeg,True,b96e1fb3-d2dc-463d-add8-59a6b4539d6e
Soğuk Çaylar,SOĞUK ÇAYLAR,Cool Lime,120,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/7b8eea86-064b-40fc-a8dd-fc7b54fe3826.jpeg,True,eedecc27-45bb-4d29-89ad-2820bf04d6bb
Şaraplar,BEYAZ ŞARAP ŞİŞE,SUVLA KINALI YAPINCAK,1400,"Anadolu'nun nadir ve özgün üzümlerinden Kınalı Yapıncak, bu beyaz şarapta zarif ve canlı bir tat profili sunar. Burunda yeşil elma, narenciye ve hafif çiçeksi notalar öne çıkar. Damakta taze, hafif ve mineral bir doku bırakır.",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/6d18d01c-8ae2-4abb-ab9e-ed04d0d64945.jpg,True,fa713f2c-a4bf-4da8-b19a-fa7304f353f3
Şaraplar,BEYAZ ŞARAP ŞİŞE,SUVLA KABATEPE BEYAZ,1150,"(Aile bağı Bozokbağ ve tarihi yarımada bağlarında yetiştirilen Sauvignon Blanc, Chardonnay ve Narince varyeteleri hasat sonrası işlenir. Yeşil yansımaları olan uçuk sarı renkteki bu beyaz şarap, narenciye, yeşil armut, limon ve beyaz çiçeklerin aromaların",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/6444e9da-e9d2-480e-ba09-14750532a02d.jpg,True,20a6247b-c93b-4322-93a6-018eb76170a9
Şaraplar,BEYAZ ŞARAP ŞİŞE,SUVLA KİLİTBAHİR BEYAZ,1100,"(Teruarının özelliklerini çok iyi yansıtan bu beyaz şarap Narince, Emir ve Kınalı Yapıncak varyetelerinden işlenir. Damakta beyaz armut, nektarin, burunda yasemin ve floral notalar sergiler, dengeli asidi ile rahat içimlidir.)",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/6b9f51fc-943e-40e9-bc21-bd7baad74f31.jpg,True,852cb0d1-6858-4b11-84e4-6ba62b63bc58
Şaraplar,ŞARAP KADEH,SUVLA KABATEPE KIRMIZI,210,"(Karasakız dokunuşu ile hasat sonrası işlenir. Kırmızı meyve aromaları, belirgin baharat notaları, yuvarlanmış tanenler ve dengeli yapısı ile rahat içimli bir kırmızı şaraptır.)",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/ce3b4066-f6e7-44b3-a1ab-e974a98bb112.jpg,True,7fdaa882-65bb-4bdf-8bd7-5552a532b643
Şaraplar,ŞARAP KADEH,SUVLA KİLİTBAHİR ROSE,210,"(Çal Karası dokunuşu ile Karasakız ve Merlot varyetelerinden işlenir. Öne çıkan aroma profilinde çilek, böğürtlen ve nektarinin ardında portakal çiçeği notaları hissedilir.)",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/338f6e28-be40-45b8-9e0b-176d3620df23.jpg,True,b14198a2-8610-45ec-b67c-ceb7696e2dec
Şaraplar,ŞARAP KADEH,SUVLA KABATEPE BEYAZ,210,"(Aile bağı Bozokbağ ve tarihi yarımada bağlarında yetiştirilen Sauvignon Blanc, Chardonnay ve Narince varyeteleri hasat sonrası işlenir. Yeşil yansımaları olan uçuk sarı renkteki bu beyaz şarap, narenciye, yeşil armut, limon ve beyaz çiçeklerin aromaların",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/c4ea2118-98c7-465a-9f0c-e475720a762a.jpg,True,7dd989d3-8634-4373-9b73-640e67ab5ff4
Şaraplar,ŞARAP KADEH,SUVLA KİLİTBAHİR KIRMIZI,210,"(Syrah, Merlot ve Öküzgözü varyetelerinden işlenir. Olgun vişne rengindeki bu kırmızı şarap, kırmızı orman meyveleri ve baharatsı aromaları ile dengeli, gövdeli ve rahat içimlidir.)",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/eb0c37e0-a85e-4ba0-9142-6ba7b839864c.jpg,True,366b094c-6fc7-48a4-8fef-38c0b5d78625
Şaraplar,ŞARAP KADEH,SUVLA KİLİTBAHİR BEYAZ,210,"(Teruarının özelliklerini çok iyi yansıtan bu beyaz şarap Narince, Emir ve Kınalı Yapıncak varyetelerinden işlenir. Damakta beyaz armut, nektarin, burunda yasemin ve floral notalar sergiler, dengeli asidi ile rahat içimlidir.)",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/31309261-4136-4273-acff-f60a995377c0.jpg,True,3607035c-74b6-4690-aa63-13f3d2d2c40f
Şaraplar,ŞARAP KADEH,SUVLA KABATEPE BLUSH,210,"(Syrah, Merlot ve Kalecik Karası varyeteleri hasat sonrası özenle işlenir. Parlak somon rengindeki bu pembe şarap burunda ahududu, erik, şeftali ve narenciye, damakta ise ilk yaz meyveleri eşliğinde aromatik bitkilerin notalarını taşır.)",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/19bc2cd3-b203-4b32-b37d-393b9a3192fb.jpg,True,ae3bc746-e956-4ed5-852d-025c452028b0
Şaraplar,ŞARAP KADEH,SANGRIA,220,"Beyaz Şarap, Safari, Şeftali likörü, Gin ve Elma Suyunun mükemmel uyumuyla hazırlanan Sangria, Taze Yeşil Elma, Ananas, Çilek ve Portakal Parçaları ile her yudumda Meyve Bahçelerinin Taze Aromasını sunuyor.",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/1764c253-7976-4970-80f5-77ae3254c6e2.jpg,True,32cfa410-4383-44e4-91a2-876acc233424
Şaraplar,ROSE ŞARAP ŞİŞE,SUVLA KABATEPE BLUSH,1150,"(Syrah, Merlot ve Kalecik Karası varyeteleri hasat sonrası özenle işlenir. Parlak somon rengindeki bu pembe şarap burunda ahududu, erik, şeftali ve narenciye, damakta ise ilk yaz meyveleri eşliğinde aromatik bitkilerin notalarını taşır.)",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/cf296d4c-6386-4dc5-884e-af3c20915fe1.jpg,True,837a2d10-1cb8-4bc2-90bd-a5c96ef5bac2
Şaraplar,ROSE ŞARAP ŞİŞE,SUVLA KARASAKIZ BLUSH,1450,"Ege’nin özgün üzümü Karasakız’dan üretilen bu blush, narin pembe rengi ve canlı meyve aromalarıyla öne çıkar. Burunda çilek, nar ve kırmızı meyve notaları hissedilirken; damakta hafif, ferah ve dengeli bir içim sunar.",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/8eb3b030-8e23-4eb9-b1ea-75ab3c4f3a81.jpg,True,bdbc4d13-2c41-45f8-bfc3-996376795154
Şaraplar,ROSE ŞARAP ŞİŞE,SUVLA KİLİTBAHİR ROSE,1100,"(Çal Karası dokunuşu ile Karasakız ve Merlot varyetelerinden işlenir. Öne çıkan aroma profilinde çilek, böğürtlen ve nektarinin ardında portakal çiçeği notaları hissedilir.)",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/5f307cff-4478-4b03-a034-a6d894b566e1.jpg,True,0ad341a4-9f12-41a7-b519-25028348011c
Şaraplar,KIRMIZI ŞARAP ŞİŞE,SUVLA KABATEPE KIRMIZI,1150,"(Karasakız dokunuşu ile hasat sonrası işlenir. Kırmızı meyve aromaları, belirgin baharat notaları, yuvarlanmış tanenler ve dengeli yapısı ile rahat içimli bir kırmızı şaraptır.)",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/d81a031a-76a1-4aae-b72b-35829e5e0496.jpg,True,9c609df4-c477-4edb-8f23-cc49819dfd39
Şaraplar,KIRMIZI ŞARAP ŞİŞE,SUVLA KALECİK KARASI KIRMIZI,1400,"Bu yerli ve karakterli şarap, ince tanenli yapısı, yumuşak içimi ve meyvemsi aromalarıyla öne çıkar. Burunda kırmızı orman meyveleri, vişne ve hafif baharat notaları hissedilirken; damakta kadifemsi, dengeli ve zarif bir yapı sunar.",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/634ee707-86d3-419c-886d-284e9cbafb1c.jpg,True,cbd16388-2324-4477-b55f-91661ef41732
Şaraplar,KIRMIZI ŞARAP ŞİŞE,SUVLA KİLİTBAHİR KIRMIZI,1100,"(Syrah, Merlot ve Öküzgözü varyetelerinden işlenir. Olgun vişne rengindeki bu kırmızı şarap, kırmızı orman meyveleri ve baharatsı aromaları ile dengeli, gövdeli ve rahat içimlidir.)",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/30c87cb6-02fb-4cd8-aa43-0fbec00b6a59.jpg,True,1a0156f9-daa5-4e8a-88d7-a298be4ce1a7
Yemekler,ATIŞTIRMALIKLAR,MEYVE TABAĞI,300,(Mevsim Meyveleri),,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/caaee2fd-78d6-4352-ae53-f378fa71cff1.jpg,True,336fe801-18dc-4600-932d-599d917b5232
Yemekler,ATIŞTIRMALIKLAR,TÜTSÜLENMİŞ SOSİS TABAĞI,340,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/1c83c88e-8ca4-4a96-8533-7aaea7f1b50a.jpg,True,30dfcbf8-6c9d-43cf-afbc-4619367e48e0
Yemekler,ATIŞTIRMALIKLAR,PATATES KIZARTMASI,210,"Çıtır çıtır patates kızartması, sıcak ve lezzet dolu bir atıştırmalık deneyimleyin.",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/26656ea2-a55f-4a2f-95a4-a7e02bcbe91f.jpg,True,641f09c6-8bce-44e0-99d4-d0f162c5827b
Yemekler,ATIŞTIRMALIKLAR,SOĞAN HALKASI TABAĞI,240,,,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/1cfe731d-2372-43d6-8d9d-fa00c6670566.jpg,True,fcc625a9-276b-466d-a1e7-b48ae0562c4e
Yemekler,ATIŞTIRMALIKLAR,RADYO BİRA TABAĞI XL,520,"Patates, Nugget, Soğan Halkası, Tavuklu Börek, Şarküteri Börek, Çıtır Zeytin , Tütsülenmiş Sosis, Mozarella Stick, Çıtır tavuk",,https://cdn.moomenu.co/tenants/radyo/branchs/gastro/menu/32204718-552d-4882-9001-77bc00c1451f.jpg,True,f0f9ed7f-820c-4579-8c95-2fd9b4b6d524
